DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
190206097,02/09/2019,02/09/2019,1300,,Rampart,0256,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1236 1402 1822 2004,0,X,X,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,IC,Invest Cont,442,998,,,1600    WILSHIRE                     BL,,"(34.0554, -118.2702)"
190206098,02/09/2019,02/09/2019,1350,,Rampart,0257,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 1251 1813 2000,20,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1500    WILSHIRE                     BL,,"(34.0546, -118.2684)"
190206099,02/08/2019,02/02/2019,0920,,Rampart,0291,662,"BUNCO, GRAND THEFT",0344 0701 0800 1309,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,662,,,,1300 W  VENICE                       BL,,"(34.0428, -118.2819)"
190206103,02/09/2019,02/09/2019,1220,,Rampart,0269,210,ROBBERY,2000 1814 1813 0429 0448 1300 1240 1310 0354 0330,27,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,8TH                          ST,WITMER,"(34.0508, -118.2683)"
190206105,02/07/2019,02/06/2019,0900,,Rampart,0269,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,28,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,1300    JAMES M WOOD                 BL,,"(34.0508, -118.2683)"
190206106,02/09/2019,02/03/2019,1200,,Rampart,0212,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0913,68,F,B,101,STREET,,,IC,Invest Cont,440,,,,300 N  MADISON                      AV,,"(34.0764, -118.2892)"
190206107,02/09/2019,02/08/2019,2200,,Rampart,0245,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2000 0522 0540 1814 0520,58,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,815,,,,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190206109,02/09/2019,02/09/2019,1900,,Rampart,0247,946,OTHER MISCELLANEOUS CRIME,1822 0319 2049 2036 2035 2051 0921,27,F,B,801,MTA BUS,,,IC,Invest Cont,946,,,,W  6TH                          ST,UNION                        AV,"(34.0579, -118.2711)"
190206110,02/09/2019,02/09/2019,1815,,Rampart,0205,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0355 1822 2003 0369 0104 0216 2051,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,3200 W  SUNSET                       BL,,"(34.0854, -118.2748)"
190206113,02/08/2019,02/07/2019,1000,,Rampart,0285,310,BURGLARY,0344,37,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1600 W  11TH                         PL,,"(34.047, -118.2755)"
190206114,02/10/2019,02/10/2019,0040,,Rampart,0245,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0411 0913 0369 0445 0216,20,M,H,109,PARK/PLAYGROUND,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,,,ALVARADO,WILSHIRE,"(34.058, -118.2759)"
190206115,02/09/2019,02/09/2019,2225,,Rampart,0238,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1206 0416,50,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1300    CORTEZ                       ST,,"(34.0662, -118.2564)"
190206116,02/10/2019,02/10/2019,0220,,Rampart,0219,624,BATTERY - SIMPLE ASSAULT,1266 0202 0446 0444 1237,42,M,B,403,DRUG STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1000 W  SUNSET                       BL,,"(34.0641, -118.248)"
190206117,02/10/2019,02/10/2019,0015,,Rampart,0237,520,VEHICLE - ATTEMPT STOLEN,1309 1607 0342 1822,28,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,520,,,,1400 W  3RD                          ST,,"(34.0621, -118.2619)"
190206119,02/10/2019,02/10/2019,0030,,Rampart,0247,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 2002 1309 1206 0342 0416 0417,21,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,500 S  UNION                        AV,,"(34.0596, -118.2701)"
190206120,02/10/2019,02/10/2019,0030,,Rampart,0247,624,BATTERY - SIMPLE ASSAULT,0906 1309 2002 1206 0342 0416 0417,17,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  UNION                        AV,,"(34.0596, -118.2701)"
190206121,02/09/2019,01/28/2019,1200,,Rampart,0211,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,67,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,4100    CLINTON                      ST,,"(34.0818, -118.2917)"
190206122,02/10/2019,02/09/2019,2130,,Rampart,0204,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3400 W  SUNSET                       BL,,"(34.0875, -118.2758)"
190206124,02/10/2019,02/10/2019,0001,,Rampart,0292,330,BURGLARY FROM VEHICLE,0344 0352 1300 1302 1307 1609,22,M,H,101,STREET,,,IC,Invest Cont,330,,,,WASHINGTON,UNION,"(34.0385, -118.2811)"
190206125,02/10/2019,02/10/2019,0300,,Rampart,0205,330,BURGLARY FROM VEHICLE,0344 0377 1300 1302 1307 1609,28,M,A,101,STREET,,,IC,Invest Cont,330,,,,2800 W  SUNSET                       BL,,"(34.082, -118.272)"
190206126,02/10/2019,01/30/2019,1500,,Rampart,0246,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6TH                          ST,ALVARADO,"(34.0596, -118.2749)"
190206129,02/10/2019,02/10/2019,1300,,Rampart,0237,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0411 0416 0445 0446 1300 1309 1822,42,M,H,101,STREET,215,MACHETE,IC,Invest Cont,230,,,,BEVERLY,LUCAS,"(34.0618, -118.2598)"
190206130,02/10/2019,02/10/2019,1320,,Rampart,0265,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2002 0411 0429 0446 1402 2004,41,M,H,102,SIDEWALK,218,OTHER CUTTING INSTRUMENT,AA,Adult Arrest,230,998,,,7TH,BONNIE BRAE,"(34.0557, -118.2751)"
190206131,02/10/2019,02/10/2019,1400,,Rampart,0265,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1236 1822,0,X,X,248,CELL PHONE STORE,,,IC,Invest Cont,442,,,,2100 W  7TH                          ST,,"(34.0565, -118.2768)"
190206135,02/10/2019,02/10/2019,1630,,Rampart,0212,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0416 0429 0444 0445 0361 1206 2002 0411,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212,BOTTLE,IC,Invest Cont,230,,,,500 N  VIRGIL                       AV,,"(34.0797, -118.2868)"
190206136,02/10/2019,02/08/2019,1400,,Rampart,0249,330,BURGLARY FROM VEHICLE,0344 1300 1302 1607,71,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,1000 W  6TH                          ST,,"(34.0532, -118.26)"
190206139,02/10/2019,02/09/2019,0300,,Rampart,0292,330,BURGLARY FROM VEHICLE,0344 1609 1307,27,M,H,101,STREET,,,IC,Invest Cont,330,,,,UNION                        AV,WASHINGTON,"(34.0379, -118.2816)"
190206140,02/10/2019,02/10/2019,1615,,Rampart,0205,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 2004 0334 1822,24,M,H,101,STREET,204,FOLDING KNIFE,AA,Adult Arrest,230,998,,,800 N  LAFAYETTE PARK               PL,,"(34.0795, -118.2729)"
190206141,02/10/2019,02/10/2019,1615,,Rampart,0205,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 1822 0329 1307,25,F,H,122,"VEHICLE, PASSENGER/TRUCK",212,BOTTLE,IC,Invest Cont,740,,,,800 N  LAFAYETTE PARK               PL,,"(34.0795, -118.2729)"
190206147,02/10/2019,02/01/2019,1545,,Rampart,0271,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0603 0913,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,2200 W  11TH                         ST,,"(34.0529, -118.2819)"
190206148,02/10/2019,02/10/2019,0340,,Rampart,0249,624,BATTERY - SIMPLE ASSAULT,1822 0216 0447 1266,55,F,B,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,1000    WILSHIRE                     BL,,"(34.0514, -118.2613)"
